city,year,gini_bc,gini_co2_car,gini_co2_truck,gini_co2_total,gini_co2_total_congestion
aligarh,2021,0.8691618633329173,0.44725819511680304,0.4487592795609663,0.44340168517307954,0.4943945033535838
aligarh,2022,0.8691618633329173,0.45481109711589024,0.4537472667289773,0.45205890503354934,0.5604702023359961
aligarh,2023,0.8691618633329173,0.45931651995662814,0.43638729812093147,0.4480075039669978,0.5533537931571749
madurai,2021,0.9215798571568524,0.47682669888742163,0.46260642992055234,0.46661485992639234,0.507864346428276
madurai,2022,0.9215798571568524,0.48060709899116916,0.46114460169552685,0.4730371203410233,0.5692623764593073
madurai,2023,0.9215798571568524,0.4848137733309211,0.45895021268428493,0.47313582788268266,0.5573877912303518
bhilainagar,2021,0.8810101948496274,0.4905500109514922,0.4772924523661812,0.48126813260417733,0.5670414620202243
bhilainagar,2022,0.8810101948496274,0.5146405414521781,0.4984571544358775,0.5078418963564287,0.650884034284126
bhilainagar,2023,0.8810101948496274,0.5215378816122723,0.484908157549307,0.5044266502985445,0.6569891609554609
itanagar,2021,0.8299703962842145,0.5098804740847193,0.49927759919871967,0.5004873247039359,0.575433737913461
itanagar,2022,0.8299703962842145,0.5100710597578516,0.5022541537802183,0.5042158022379264,0.6414232322347165
itanagar,2023,0.8299703962842145,0.513229972843965,0.49736797669858335,0.5039436111917409,0.6218620194335895
kota,2021,0.904790790120964,0.5194293459081746,0.5128365726943219,0.511555640965548,0.536306904657683
kota,2022,0.904790790120964,0.5210164206869369,0.5124105303905913,0.5152550658805262,0.5830717006383428
kota,2023,0.904790790120964,0.5226393884981865,0.5025414401624694,0.5116270737674842,0.6058831112270394
ludhiana,2021,0.9053227571291943,0.4676718844678713,0.5159755577395745,0.4808228362893705,0.5934589435347516
ludhiana,2022,0.9053227571291943,0.5086638349928049,0.5478916973193138,0.5157365320552683,0.6949206406264449
ludhiana,2023,0.9053227571291943,0.5131417368624489,0.49347982044584715,0.5045253508233222,0.6599278658255835
ranchi,2021,0.917219787127373,0.4812177274549668,0.4689450968054684,0.472451782379288,0.5323797691745992
ranchi,2022,0.917219787127373,0.4787793620535432,0.46914533901768163,0.47395398997558075,0.5590342615022661
ranchi,2023,0.917219787127373,0.4758174972996448,0.4605078743430269,0.46688947610441117,0.5798312761505161
vishakhapatnam,2021,0.9350782774157822,0.5338461452372082,0.5205104199177517,0.5255391510430122,0.6108937977140468
vishakhapatnam,2022,0.9350782774157822,0.5481927108125482,0.5218224061779193,0.5394534586704133,0.6655919132781871
vishakhapatnam,2023,0.9350782774157822,0.5620830163263925,0.5154834692344618,0.5426905787027003,0.6754151523521821
sangli-miraj-kupwad,2021,0.8848511432572332,0.4810613715546679,0.4759484209918203,0.47518009341766915,0.5179255547848522
sangli-miraj-kupwad,2022,0.8848511432572332,0.48906523824551423,0.4750712953249015,0.48305131285023706,0.5559575332710791
sangli-miraj-kupwad,2023,0.8848511432572332,0.4901429130575132,0.47104420450834233,0.4799379214814894,0.5630164284305758
guwahati,2021,0.9184751813680021,0.4810712903779237,0.4911489553800664,0.47972338396246494,0.6631912644012474
guwahati,2022,0.9184751813680021,0.48615232482708004,0.5149347302949566,0.4871849906261625,0.6670662913999592
guwahati,2023,0.9184751813680021,0.4754256515488849,0.4944842139357081,0.4757038071813339,0.6314244177483107
varanashi,2021,0.8873345638389055,0.44591631804301535,0.44886211437058054,0.4435897814117145,0.49489619626775705
varanashi,2022,0.8873345638389055,0.4598935668526666,0.45268368993456387,0.456233514955566,0.5783370921346539
varanashi,2023,0.8873345638389055,0.4733560791598895,0.43584571833541363,0.45578772101612086,0.5544318724367618
bhopal,2021,0.9430231810481924,0.49417596007363557,0.4791297493715971,0.4864382725116917,0.6179694782581702
bhopal,2022,0.9430231810481924,0.6807144140187636,0.6513654243098349,0.6679425001866788,0.7488740855762743
bhopal,2023,0.9430231810481924,0.5354646224454098,0.46171916745033753,0.509620226747433,0.6914789331199946
muzaffarpur,2021,0.8309793865293748,0.44789472366442606,0.42819007738169584,0.4350444483155531,0.49413203237456077
muzaffarpur,2022,0.8309793865293748,0.4477565695299823,0.43279194978497065,0.4396786173801489,0.5535311591922402
muzaffarpur,2023,0.8309793865293748,0.44226613597542663,0.42225405503282193,0.43088167723325055,0.5507204314147989
